TRANSACTION_DT,Count(Distinct(CUSTOMER_NBR)),SALES
2016-07-16,46824,4544630.7
2016-07-17,32455,3116422.51
2016-07-18,38195,3132527.22
2016-07-19,31657,2936550.26
2016-07-20,26833,2409208.79
2016-07-21,25763,2262924.67
2016-07-22,34056,2973923.31
2016-07-23,36633,3262467.02
2016-07-24,22335,2046623.26
2016-07-25,30309,2636395.5
2016-07-26,24713,2250671.12
2016-07-27,24900,2291817.75
2016-07-28,29248,2600591.99
2016-07-29,41945,3870456.03
2016-07-30,48837,4554924.29
2016-07-31,37878,3354212.01
2016-08-01,35570,3085123.56
2016-08-02,27953,2607714.35
2016-08-03,30435,2772148.7
2016-08-04,31811,2980521.32
2016-08-05,42479,3873846.09
2016-08-06,48979,4686278.17
2016-08-07,32729,3197735.84
2016-08-08,16916,1541947.79
2016-08-09,51828,4349714.51
2016-08-10,23671,2102242.67
2016-08-11,27486,2593175.94
2016-08-12,29245,2626278.69
2016-08-13,36642,3478145.74
2016-08-14,22465,2199902.17
2016-08-15,29654,2639960.48
2016-08-16,20930,1951705.48
2016-08-17,21636,2045948.74
2016-08-18,19921,1858469.92
2016-08-19,28790,2691420.55
2016-08-20,35395,3423307.25
2016-08-21,21539,2114160.02
2016-08-22,25120,2263338.04
2016-08-23,20249,1910858.22
2016-08-24,22334,2098723.69
2016-08-25,24712,2285007.96
2016-08-26,30009,2695293.75
2016-08-27,37490,3584783.8
2016-08-28,21620,2114925.92
2016-08-29,31098,2640559.04
2016-08-30,31505,2787700.59
2016-08-31,25899,2272080.25
2016-09-01,26493,2322448.79
2016-09-02,39992,3612933.39
2016-09-03,46608,4345295.44
2016-09-04,29971,2819519.86
2016-09-05,34203,3285916.14
2016-09-06,29267,2549426.55
2016-09-07,32606,2969710.15
2016-09-08,34902,3125177.58
2016-09-09,30768,2743091.55
2016-09-10,38248,3587348.43
2016-09-11,21771,2118395.66
2016-09-12,26455,2415889.47
2016-09-13,22836,2226790.62
2016-09-14,24349,2462605.73
2016-09-15,23996,2304918.54
2016-09-16,31699,2828381.0
2016-09-17,41435,3789208.18
2016-09-18,26621,2386991.27
2016-09-19,23898,2179197.13
2016-09-20,22340,2114884.97
2016-09-21,21106,1968015.55
2016-09-22,27043,2587013.7
2016-09-23,33680,3086567.26
2016-09-24,38286,3589621.11
2016-09-25,21328,2089948.89
2016-09-26,22782,2085216.44
2016-09-27,23080,2220508.21
2016-09-28,24953,2416482.26
2016-09-29,26890,2541656.79
2016-09-30,47952,4625103.44
2016-10-01,56184,5510090.89
2016-10-02,32845,3142109.81
2016-10-03,30017,2801781.47
2016-10-04,32271,3119317.61
2016-10-05,31516,3052873.99
2016-10-06,34019,3218646.85
2016-10-07,40093,3808438.34
2016-10-08,49462,4863231.43
2016-10-09,31760,3067142.02
2016-10-10,44071,4126250.6
2016-10-11,33955,3152616.82
2016-10-12,35020,3302807.92
2016-10-13,25948,2401971.76
2016-10-14,30541,2839852.47
2016-10-15,39135,3812827.85
2016-10-16,24655,2394229.97
2016-10-17,22388,2135927.59
2016-10-18,20056,1899503.91
2016-10-19,21017,2013307.49
2016-10-20,23370,2205777.43
2016-10-21,33638,3089971.61
2016-10-22,42568,3987262.39
2016-10-23,24373,2198844.06
2016-10-24,25865,2214912.56
2016-10-25,25803,2362118.28
2016-10-26,23354,2143054.36
2016-10-27,28388,2624371.67
2016-10-28,35677,3307542.34
2016-10-29,40939,3771239.71
2016-10-30,25153,2341529.89
2016-10-31,26007,2280495.81
2016-11-01,22623,2009815.95
2016-11-02,22258,2183697.68
2016-11-03,26732,2608878.24
2016-11-04,31366,2887078.2
2016-11-05,44488,4045632.2
2016-11-06,24331,2281245.08
2016-11-07,27328,2440299.26
2016-11-08,23594,2249705.44
2016-11-09,35022,3345026.12
2016-11-10,30581,2965552.93
2016-11-11,43137,4242299.2
2016-11-12,45129,4431032.06
2016-11-13,23096,2294969.87
2016-11-14,27538,2531187.72
2016-11-15,28030,2685846.91
2016-11-16,29473,2825328.72
2016-11-17,26455,2583876.36
2016-11-18,35091,3320465.44
2016-11-19,41932,4124890.08
2016-11-20,26577,2570097.37
2016-11-21,33156,3006380.76
2016-11-22,44089,4030207.54
2016-11-23,44613,4117940.54
2016-11-24,8525,723377.8
2016-11-25,80944,7633815.55
2016-11-26,62845,5868482.27
2016-11-27,39231,3507187.21
2016-11-28,44473,3872750.01
2016-11-29,31186,2679130.17
2016-11-30,26799,2321670.98
2016-12-01,35410,3374756.46
2016-12-02,39113,3484028.6
2016-12-03,82344,7072722.61
2016-12-04,38630,3366343.18
2016-12-05,49193,3796421.48
2016-12-06,37856,2956144.71
2016-12-07,37411,3050184.87
2016-12-08,36902,3065521.53
2016-12-09,49152,4038149.43
2016-12-10,57153,4894818.21
2016-12-11,32206,2774908.09
2016-12-12,33437,2881510.67
2016-12-13,30746,2760346.14
2016-12-14,33292,2977164.56
2016-12-15,35253,3221390.84
2016-12-16,46347,3870563.63
2016-12-17,55831,4847157.93
2016-12-18,36309,3237688.71
2016-12-19,39856,3353724.4
